Number of vertices;Depth of tree;Are isomorphic;Time [ms]
2180;206;false;9808
1060;113;false;4310
2330;153;false;23390
1150;246;false;2774
2980;246;false;17296
2900;246;false;16322
1830;113;false;13942
1860;260;false;7444
2520;286;false;12638
2150;153;false;18402
1830;233;false;13462
2620;300;false;13684
1300;233;false;6920
2890;260;false;16584
1820;246;false;6736
2500;153;false;24834
2210;166;false;9580
2660;206;false;13696
1190;113;false;5596
1570;273;false;10162
1030;300;false;2240
1310;233;false;6952
2670;286;false;14022
2280;166;false;9652
1580;300;false;5164
1640;273;false;10866
1510;233;false;9336
2070;153;false;17258
1100;180;false;2436
1890;193;false;14424
2060;113;false;17124
1370;233;false;7662
2190;300;false;10500
1560;180;false;5000
2730;220;false;14794
1020;273;false;4300
1470;140;false;4406
1340;113;false;7250
2170;180;false;9846
2130;273;false;18274
2230;113;false;19944
2080;233;false;17304
1130;246;false;2712
2510;113;false;23704
2290;246;false;9984
2520;220;false;12282
2550;273;false;25504
1260;273;false;6512
1110;286;false;2534
1090;220;false;2528
2370;273;false;22294
2330;166;false;10394
2510;166;false;12346
2890;166;false;15972
2760;166;false;14590
2470;246;false;12518
1560;193;false;9750
1150;126;false;2696
1750;113;false;11954
1300;300;false;3514
2860;113;false;30362
1800;113;false;13026
2200;153;false;19386
1040;126;false;2220
2040;180;false;8518
1470;113;false;8676
2350;193;false;21888
1590;246;false;6488
2470;300;false;12212
1440;153;false;8370
2140;233;false;19250
2810;273;false;30878
1550;233;false;9840
1260;166;false;3184
2600;206;false;13346
2810;260;false;15182
2070;300;false;9310
1610;273;false;10350
2860;273;false;32076
1950;206;false;7894
2770;286;false;14872
2110;246;false;9120
2050;220;false;8750
2380;260;false;12372
2400;126;false;11434
1470;273;false;8714
1920;300;false;7530
2820;260;false;15574
2250;233;false;20554
2090;286;false;9046
2930;180;false;16202
1720;153;false;12256
1480;140;false;4436
1410;140;false;3944
2060;206;false;9044
1870;113;false;14226
2830;220;false;15394
1860;140;false;6992
1340;153;false;7276
1510;153;false;9030
1560;126;false;4900
1540;220;false;4820
1350;140;false;3726
1680;233;false;11350
1710;180;false;5720
2260;220;false;10266
2200;166;false;10426
2340;166;false;10700
2770;246;false;14956
2200;273;false;20322
1830;140;false;6904
2700;246;false;14112
2080;153;false;17270
1500;166;false;4474
1450;286;false;4444
2280;246;false;10364
2370;193;false;21592
2940;140;false;16236
1470;193;false;8790
1900;260;false;9188
1630;246;false;5526
1680;153;false;11768
2030;113;false;16328
1500;153;false;9006
2290;300;false;9650
1830;273;false;13700
1660;260;false;5896
1110;220;false;2490
2090;220;false;9126
2130;113;false;17954
1510;206;false;4514
2060;140;false;8570
1520;206;false;4780
1990;140;false;7884
2580;180;false;13346
2020;220;false;8442
2330;300;false;10444
1730;180;false;5864
1760;140;false;6388
1010;246;false;2116
1270;140;false;3254
1350;126;false;3676
1150;233;false;5340
1120;246;false;2644
1180;300;false;2960
1720;193;false;12308
1970;140;false;7686
1300;166;false;3490
2160;233;false;19104
2980;193;false;32900
1090;300;false;2526
1400;153;false;7996
1490;260;false;4816
2150;140;false;9482
1440;273;false;8368
2180;220;false;9654
2200;126;false;9592
1740;233;false;12382
1650;286;false;5538
2780;233;false;30578
1940;153;false;15250
1020;153;false;4104
1460;300;false;4410
1380;220;false;4070
1970;286;false;8224
2690;260;false;14922
1020;126;false;2086
2480;140;false;11974
1210;300;false;3104
1420;260;false;4162
2820;140;false;15184
1950;113;false;15172
2580;300;false;13664
2870;180;false;16074
2450;180;false;11532
2510;153;false;23940
2650;153;false;27084
1350;166;false;3816
2610;260;false;16414
1730;233;false;12172
1340;286;false;3780
1230;180;false;3044
2180;140;false;9552
2540;233;false;24958
2350;126;false;11602
2830;126;false;15176
1020;300;false;2176
1670;246;false;5782
2930;300;false;16590
1340;206;false;3770
1980;153;false;16100
2760;206;false;14944
1560;300;false;5078
1120;153;false;5098
2930;140;false;16148
1440;260;false;4248
2290;180;false;10844
2130;220;false;9626
1930;300;false;7664
1720;166;false;6050
1850;193;false;14170
1360;246;false;4426
1940;140;false;7822
1590;166;false;5212
1320;206;false;3588
1900;113;false;14232
2770;126;false;14596
2910;246;false;16498
1050;113;false;4286
2940;286;false;16872
2330;286;false;10572
1370;140;false;3802
2770;300;false;15012
2680;126;false;14056
1540;153;false;9624
2260;246;false;11014
2740;126;false;14536
1650;166;false;5562
1710;126;false;5594
1450;126;false;4200
1070;286;false;2406
2670;126;false;13868
2270;300;false;10522
1880;220;false;7326
2590;220;false;12996
1990;193;false;16104
2880;260;false;16494
1500;286;false;4656
2980;166;false;17374
2390;286;false;10992
2380;113;false;23868
2160;206;false;9550
1980;206;false;8198
1220;273;false;6148
2550;113;false;24996
1540;273;false;9386
1450;220;false;4496
2080;193;false;17756
2860;206;false;15662
1840;233;false;13824
1250;260;false;3352
2770;140;false;14934
2460;153;false;23514
2550;126;false;11844
1150;300;false;2878
2940;273;false;33070
1260;206;false;3288
2460;180;false;11148
1530;126;false;4900
1380;273;false;7742
2820;153;false;30262
2450;153;false;22646
2410;113;false;22614
1080;233;false;4678
1400;140;false;3996
1240;166;false;3224
2820;246;false;17664
2990;180;false;17610
2410;193;false;21682
2160;273;false;19036
2690;246;false;13950
1660;166;false;5634
2570;153;false;25602
2910;286;false;16386
2970;273;false;33350
1180;153;false;5592
1740;113;false;12172
1380;260;false;4160
2570;193;false;25922
2400;153;false;22742
1440;193;false;8502
2000;193;false;16410
2910;180;false;16158
1460;166;false;4242
1490;153;false;9188
1840;300;false;7026
2590;286;false;13290
1800;193;false;13052
2230;126;false;10864
1880;180;false;7368
2010;220;false;8280
2360;286;false;12032
1530;220;false;4892
2410;166;false;11176
1350;286;false;3926
1050;166;false;2182
1730;113;false;12112
