Number of vertices;Depth of tree;Are isomorphic;Time [ms]
1300;233;false;3460
2890;260;false;8292
1820;246;false;3368
2500;153;false;12417
2210;166;false;4790
2660;206;false;6848
1190;113;false;2798
1570;273;false;5081
1030;300;false;1120
1310;233;false;3476
2670;286;false;7011
2280;166;false;4826
1580;300;false;2582
1640;273;false;5433
1510;233;false;4668
2070;153;false;8629
1100;180;false;1218
1890;193;false;7212
2060;113;false;8562
1370;233;false;3831
2190;300;false;5250
1560;180;false;2500
2730;220;false;7397
1020;273;false;2150
1470;140;false;2203
1340;113;false;3625
2170;180;false;4923
2130;273;false;9137
2230;113;false;9972
2080;233;false;8652
1130;246;false;1356
2510;113;false;11852
2290;246;false;4992
2520;220;false;6141
2550;273;false;12752
1260;273;false;3256
1110;286;false;1267
1090;220;false;1264
2370;273;false;11147
2330;166;false;5197
2510;166;false;6173
2890;166;false;7986
2760;166;false;7295
2470;246;false;6259
1560;193;false;4875
1150;126;false;1348
1750;113;false;5977
1300;300;false;1757
2860;113;false;15181
1800;113;false;6513
2200;153;false;9693
1040;126;false;1110
2040;180;false;4259
1470;113;false;4338
2350;193;false;10944
1590;246;false;3244
2470;300;false;6106
1440;153;false;4185
2140;233;false;9625
2810;273;false;15439
1550;233;false;4920
1260;166;false;1592
2600;206;false;6673
2810;260;false;7591
2070;300;false;4655
1610;273;false;5175
2860;273;false;16038
1950;206;false;3947
2770;286;false;7436
2110;246;false;4560
2050;220;false;4375
2380;260;false;6186
2400;126;false;5717
1470;273;false;4357
1920;300;false;3765
2820;260;false;7787
2250;233;false;10277
2090;286;false;4523
2930;180;false;8101
1720;153;false;6128
1480;140;false;2218
1410;140;false;1972
2060;206;false;4522
1870;113;false;7113
2830;220;false;7697
1860;140;false;3496
1340;153;false;3638
1510;153;false;4515
1560;126;false;2450
1540;220;false;2410
1350;140;false;1863
1680;233;false;5675
1710;180;false;2860
2260;220;false;5133
2200;166;false;5213
2340;166;false;5350
2770;246;false;7478
2200;273;false;10161
1830;140;false;3452
2700;246;false;7056
2080;153;false;8635
1500;166;false;2237
1450;286;false;2222
2280;246;false;5182
2370;193;false;10796
2940;140;false;8118
1470;193;false;4395
1900;260;false;4594
1630;246;false;2763
1680;153;false;5884
2030;113;false;8164
1500;153;false;4503
2290;300;false;4825
1830;273;false;6850
1660;260;false;2948
1110;220;false;1245
2090;220;false;4563
2130;113;false;8977
1510;206;false;2257
2060;140;false;4285
1520;206;false;2390
1990;140;false;3942
2580;180;false;6673
2020;220;false;4221
2330;300;false;5222
1730;180;false;2932
1760;140;false;3194
1010;246;false;1058
1270;140;false;1627
1350;126;false;1838
